15:27:53 INFO  : Registering command handlers for SDK TCF services
15:27:54 INFO  : Launching XSCT server: xsct.bat -interactive D:\Project\warmup\vivado\Z_lab1\Z_lab1.sdk\temp_xsdb_launch_script.tcl
15:27:56 INFO  : XSCT server has started successfully.
15:27:56 INFO  : Successfully done setting XSCT server connection channel  
15:27:57 INFO  : Successfully done setting SDK workspace  
15:27:57 INFO  : Processing command line option -hwspec D:/Project/warmup/vivado/Z_lab1/Z_lab1.sdk/design_1_wrapper.hdf.
15:32:31 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:32:34 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279777552A" && level==0} -index 1' command is executed.
15:32:35 INFO  : FPGA configured successfully with bitstream "D:/Project/warmup/vivado/Z_lab1/Z_lab1.sdk/design_1_wrapper_hw_platform_0/design_1_wrapper.bit"
15:32:47 WARN  : Given IPC port value is invalid. Using default port 2350
15:32:47 WARN  : Given XMD timeout value is invalid. Using default value of 50000
15:32:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 INFO  : ps7_init is completed.
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 INFO  : ps7_post_config is completed.
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:52 INFO  : Processor reset is completed for ps7_cortexa9_0
15:32:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:32:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:46 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:46 INFO  : ps7_cortexa9_0 Processor is in use. Please stop existing Run or Debug sessions before launching.
15:35:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 INFO  : Processor reset is completed for ps7_cortexa9_0
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:35:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:37:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:37:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:37:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
15:37:54 ERROR : Unexpected error while parsing XMD response ?: com.google.gson.JsonSyntaxException: com.google.gson.stream.MalformedJsonException: invalid number or unquoted string near 
